display  D   display_settings.c:202  debug_display_settings           [   0.18982] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18986] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18989] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.18994] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.18997] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19001] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19005] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19009] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19014] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19019] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19022] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19027] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19030] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19034] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19038] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19043] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19047] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.19051] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.19055] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.19059] Single Buffer requirement not met.
